Statistical profiling result from nobloq.log, (2768 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   ticks parent  name
   1195   43.2%  /usr/lib/x86_64-linux-gnu/libnode.so.72
    426   35.6%    /usr/lib/x86_64-linux-gnu/libnode.so.72
     64   15.0%      /usr/lib/x86_64-linux-gnu/libnode.so.72
     21   32.8%        node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     21  100.0%          LazyCompile: ~wrapSafe internal/modules/cjs/loader.js:899:18
     21  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:953:37
     10   15.6%        /usr/lib/x86_64-linux-gnu/libnode.so.72
     10  100.0%          LazyCompile: ~inspectorWaitForDebugger inspector.js:144:34
     10  100.0%            LazyCompile: ~<anonymous> /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:84546
      5    7.8%        LazyCompile: ~lookup /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/mime/mime.js:102:19
      5  100.0%          LazyCompile: ~header /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:754:29
      5  100.0%            LazyCompile: ~contentType /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:594:32
      4    6.3%        LazyCompile: ~header /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:754:29
      3   75.0%          LazyCompile: ~contentType /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:594:32
      3  100.0%            LazyCompile: ~sendStatus /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:353:37
      1   25.0%          LazyCompile: ~send /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:107:25
      1  100.0%            LazyCompile: ~sendStatus /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:353:37
      4    6.3%        LazyCompile: ~checkInvalidHeaderChar _http_common.js:226:32
      4  100.0%          LazyCompile: ~<anonymous> _http_outgoing.js:518:45
      3   75.0%            LazyCompile: *hidden internal/errors.js:282:25
      1   25.0%            LazyCompile: ~hidden internal/errors.js:282:25
      3    4.7%        LazyCompile: ~parseObject /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/qs/lib/parse.js:100:28
      3  100.0%          LazyCompile: ~parseQueryStringKeys /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/qs/lib/parse.js:135:46
